control_id,framework,title,description
SOC2-CC6.1,SOC 2,Logical Access Controls,"The entity implements logical access security measures to protect assets from unauthorized access. This includes password policies, multi-factor authentication, and role-based access controls."
SOC2-CC6.2,SOC 2,Access Credentials Management,"The entity creates and maintains access credentials for authorized users. Credentials are assigned based on job responsibilities and reviewed regularly for appropriateness."
SOC2-CC6.3,SOC 2,Access Removal,"The entity removes access credentials when access is no longer required. This includes immediate removal upon termination and periodic review of active credentials."
SOC2-CC6.4,SOC 2,Logical Access Security,"The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events."
SOC2-CC6.5,SOC 2,Data Classification,"The entity disposes of information, software, and hardware to meet the entity's objectives related to security, availability, processing integrity, confidentiality, and privacy."
SOC2-CC6.6,SOC 2,Encryption and Key Management,"The entity encrypts data at rest and in transit using industry-standard encryption algorithms. Encryption keys are managed securely with proper rotation policies."
SOC2-CC6.7,SOC 2,Network Security,"The entity implements network security controls to protect against unauthorized access, including firewalls, intrusion detection systems, and network segmentation."
GDPR-Art5,GDPR,Principles of Data Processing,"Personal data shall be processed lawfully, fairly and in a transparent manner in relation to the data subject. Data shall be collected for specified, explicit and legitimate purposes."
GDPR-Art6,GDPR,Lawfulness of Processing,"Processing shall be lawful only if and to the extent that at least one of the following applies: consent, contract, legal obligation, vital interests, public task, or legitimate interests."
GDPR-Art7,GDPR,Conditions for Consent,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data."
GDPR-Art8,GDPR,Consent for Children,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data."
GDPR-Art9,GDPR,Processing of Special Categories,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership is prohibited."
GDPR-Art13,GDPR,Information to be Provided,"The controller shall provide the data subject with information including identity of controller, purposes of processing, legal basis, and data subject rights."
GDPR-Art15,GDPR,Right of Access,"The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed."
GDPR-Art17,GDPR,Right to Erasure,"The data subject shall have the right to obtain from the controller the erasure of personal data without undue delay where certain conditions are met."
GDPR-Art25,GDPR,Data Protection by Design,"The controller shall implement appropriate technical and organizational measures to ensure data protection principles are embedded into processing activities."
